CustomerID,CustomerName,Region,Country,City,Segment,PaymentTerms,CreditLimit
CUST0001,Willow Enterprises,UK,England,Leeds,SME,Net 30,50000
CUST0002,Harbor Solutions,Europe,France,Paris,SME,Net 30,5000
CUST0003,Cedar Supplies,UK,Scotland,Glasgow,SME,Net 45,20000
CUST0004,Umbra Industries,UK,England,London,Mid-Market,Net 15,100000
CUST0005,Nova Supplies,Europe,Germany,Berlin,SME,Net 30,20000
CUST0006,Willow Group,UK,England,London,Enterprise,Net 45,250000
CUST0007,Beta Partners,Africa,South Africa,Cape Town,Mid-Market,Net 30,20000
CUST0008,Epsilon Partners,Africa,South Africa,Cape Town,Mid-Market,Net 30,100000
CUST0009,Delta Logistics,UK,England,Manchester,Enterprise,Net 45,20000
CUST0010,Orion Solutions,UK,England,Leeds,SME,Net 30,10000
CUST0011,Vertex Holdings,Africa,South Africa,Johannesburg,SME,Net 30,20000
CUST0012,Beta Holdings,UK,England,Manchester,SME,Net 45,50000
CUST0013,Pioneer Supplies,UK,England,London,Mid-Market,Net 30,50000
CUST0014,Delta Logistics,Africa,Kenya,Nairobi,Mid-Market,Net 30,20000
CUST0015,Maple Group,Africa,South Africa,Cape Town,Mid-Market,Net 30,100000
CUST0016,Nova Solutions,UK,England,Birmingham,SME,Net 45,100000
CUST0017,Umbra Holdings,Europe,Spain,Madrid,Mid-Market,Net 45,50000
CUST0018,Terra Holdings,Africa,South Africa,Cape Town,SME,Net 30,100000
CUST0019,Alpha Logistics,Europe,Spain,Madrid,SME,Net 30,10000
CUST0020,Alpha Holdings,UK,England,Leeds,Mid-Market,Net 45,20000
CUST0021,River Solutions,UK,Scotland,Glasgow,Mid-Market,Net 45,50000
CUST0022,River Partners,UK,Scotland,Glasgow,SME,Net 45,20000
CUST0023,Epsilon Retailers,Africa,Kenya,Nairobi,Mid-Market,Net 30,100000
CUST0024,Umbra Partners,Africa,Nigeria,Abuja,Mid-Market,Net 30,10000
CUST0025,Summit Supplies,Europe,Netherlands,Amsterdam,Mid-Market,Net 30,20000
CUST0026,Delta Retailers,UK,England,Manchester,SME,Net 30,100000
CUST0027,Orion Trading,Europe,Spain,Madrid,Enterprise,Net 30,100000
CUST0028,Quantum Group,Africa,Kenya,Nairobi,SME,Net 30,20000
CUST0029,Alpha Partners,UK,Scotland,Glasgow,Mid-Market,Net 30,20000
CUST0030,Vertex Supplies,Europe,Netherlands,Amsterdam,SME,Net 60,10000
CUST0031,Maple Logistics,UK,England,Manchester,SME,Net 45,20000
CUST0032,Harbor Trading,Europe,Italy,Rome,Mid-Market,Net 60,5000
CUST0033,Radiant Enterprises,Europe,Germany,Berlin,Mid-Market,Net 15,20000
CUST0034,Quantum Retailers,UK,England,Leeds,SME,Net 45,50000
CUST0035,Terra Retailers,Europe,Germany,Berlin,SME,Net 15,50000
CUST0036,Beta Enterprises,UK,England,Leeds,Mid-Market,Net 30,50000
CUST0037,Harbor Trading,UK,Scotland,Glasgow,SME,Net 30,250000
CUST0038,Nova Partners,UK,England,Birmingham,Mid-Market,Net 45,20000
CUST0039,Harbor Industries,Africa,South Africa,Cape Town,Enterprise,Net 45,5000
CUST0040,Nova Solutions,Europe,Spain,Madrid,Mid-Market,Net 30,20000
CUST0041,Nova Trading,Africa,South Africa,Johannesburg,SME,Net 30,10000
CUST0042,Alpha Enterprises,Europe,France,Paris,Mid-Market,Net 45,10000
CUST0043,Quantum Industries,Africa,South Africa,Johannesburg,Mid-Market,Net 45,50000
CUST0044,Vertex Retailers,Europe,Spain,Madrid,SME,Net 30,10000
CUST0045,Epsilon Group,UK,England,Manchester,Enterprise,Net 60,50000
CUST0046,Alpha Holdings,UK,England,Manchester,SME,Net 30,20000
CUST0047,Epsilon Enterprises,UK,England,London,SME,Net 30,10000
CUST0048,Maple Partners,UK,England,Birmingham,SME,Net 30,20000
CUST0049,Quantum Industries,Europe,Italy,Rome,Mid-Market,Net 30,20000
CUST0050,Orion Group,UK,England,Manchester,SME,Net 15,5000
CUST0051,Beta Industries,UK,Scotland,Glasgow,SME,Net 30,5000
CUST0052,Beta Trading,Africa,Kenya,Nairobi,Mid-Market,Net 30,10000
CUST0053,Delta Group,Europe,Italy,Rome,Mid-Market,Net 30,10000
CUST0054,Quantum Enterprises,Africa,Nigeria,Abuja,SME,Net 45,10000
CUST0055,Terra Trading,Africa,Kenya,Nairobi,SME,Net 45,20000
