InvoiceID,InvoiceDate,DueDate,PaymentDate,CustomerID,CustomerName,Region,Country,City,Segment,PaymentTerms,SalesRepID,SalesRepName,InvoiceAmount,AmountReceived,OutstandingAmount,PaymentStatus,DaysToPay,DaysOverdue,AgingBucket,AgingBucketSort
AR-202502-00001,2025-02-01,2025-03-03,2025-03-10,CUST0234,River Trading,Africa,Nigeria,Lagos,Enterprise,Net 30,REP052,Priya Smith,11599.67,11599.67,0.0,Paid,37.0,0,Current,1
AR-202407-00002,2024-07-02,2024-07-17,2024-08-17,CUST0999,Umbra Trading,Europe,France,Paris,Mid-Market,Net 15,REP044,Liam Smith,440.22,273.64,166.58,Overdue,46.0,440,90+,5
AR-202408-00003,2024-08-31,2024-10-15,2024-10-17,CUST0258,Willow Group,Africa,Nigeria,Abuja,Mid-Market,Net 45,REP028,Ike Brown,17773.39,17773.39,0.0,Paid,47.0,0,Current,1
AR-202501-00004,2025-01-06,2025-02-20,2025-02-22,CUST1317,Alpha Logistics,Africa,South Africa,Cape Town,Enterprise,Net 45,REP011,Maya Williams,15134.12,15134.12,0.0,Paid,47.0,0,Current,1
AR-202502-00005,2025-02-11,2025-03-13,2025-04-05,CUST0908,Cedar Partners,Africa,Nigeria,Lagos,Enterprise,Net 30,REP010,Tunde Khan,11509.13,4472.77,7036.36,Overdue,53.0,201,90+,5
AR-202507-00006,2025-07-13,2025-08-27,2025-09-13,CUST1350,Aspen Retailers,Europe,Netherlands,Amsterdam,SME,Net 45,REP034,Ola Patel,1246.75,1246.75,0.0,Paid,62.0,0,Current,1
AR-202507-00007,2025-07-05,2025-08-19,2025-09-14,CUST1270,Beta Supplies,Europe,France,Paris,Enterprise,Net 45,REP021,Ella Hughes,562.46,438.48,123.98,Overdue,71.0,42,31-60,3
AR-202408-00008,2024-08-11,2024-09-10,2024-09-20,CUST1063,Cedar Supplies,UK,England,London,SME,Net 30,REP004,Chinwe Ahmed,10577.36,10577.36,0.0,Paid,40.0,0,Current,1
AR-202401-00009,2024-01-18,2024-02-17,2024-03-22,CUST0934,Willow Retailers,Europe,Netherlands,Amsterdam,SME,Net 30,REP058,Ike Okoye,9667.4,9667.4,0.0,Paid,64.0,0,Current,1
AR-202407-00010,2024-07-17,2024-08-16,2024-08-16,CUST0040,Nova Solutions,Europe,Spain,Madrid,Mid-Market,Net 30,REP026,Maya Campbell,914.29,914.29,0.0,Paid,30.0,0,Current,1
AR-202509-00011,2025-09-30,2025-11-14,2025-11-14,CUST1295,Alpha Industries,UK,England,Birmingham,Mid-Market,Net 45,REP003,Noah Muller,4770.79,4770.79,0.0,Paid,45.0,0,Current,1
AR-202403-00012,2024-03-07,2024-04-21,2024-05-06,CUST0817,Aspen Industries,Africa,Kenya,Nairobi,SME,Net 45,REP045,Chinwe Nguyen,4895.15,1013.55,3881.6,Overdue,60.0,527,90+,5
AR-202505-00013,2025-05-26,2025-07-10,2025-07-11,CUST1190,Alpha Supplies,UK,England,Leeds,SME,Net 45,REP040,Noah Rossi,24415.71,24415.71,0.0,Paid,46.0,0,Current,1
